ReviewId,RecipeId,AuthorId,AuthorName,Review,DateSubmitted,DateModified
2,992,2008,gayg msft,better than any you can get at a restaurant!,01/26/2000 03:44:00,01/26/2000 03:44:00
14,44,2085,Tony Small,An excellent dish.,03/28/2000 18:51:00,03/28/2000 18:51:00
21,148,2156,Darlene Blythe,Would someone please check the Nutrition Facts of this recipe.,06/02/2000 16:01:00,06/02/2000 16:01:00
22,517,2046,Gay Gilmore ckpt,thought this was terrific!,02/25/2000 15:02:00,02/25/2000 15:02:00
24,278,1773,Malarkey Test,"a little greasy, but a huge hit with the guests.",03/14/2000 01:53:00,03/14/2000 01:53:00
28,1451,2416,jessontanya,"Where does the bbq come in ",08/02/2000 01:17:30,08/02/2000 01:17:30
45,471,2625,Eli Totz,I never tasted it but it sure doesn''t look easy.  Toast is easy.,10/18/2000 17:35:01,10/18/2000 17:35:01
47,780,2312,Gay Gilmore,"This was delicious.
",09/13/2000 04:49:36,09/13/2000 04:49:36
50,1078,2639,Elisabeth Summers,"Your recipe was wonderful, it all fit together so well.  Very Yummy...thanks,  Elisabeth Summers
",09/20/2000 20:09:06,09/20/2000 20:09:06
71,1232,2312,Gay Gilmore,"It was good, it just tasted a little too tomatoey for me I think.
",10/17/2000 21:02:37,10/17/2000 21:02:37
75,164,2312,Gay Gilmore,"MMMM, I love this stuff. Quite elegant, and even the liver-squeemish like it as long as they don't know.",10/20/2000 20:03:10,10/20/2000 20:03:10
76,100,2369,William Hakala,It is a good recipe...but I believe that it would be better if it had raisins included  :),10/20/2000 20:04:14,10/20/2000 20:04:14
84,153,3114,Susan Scannapieco,Took about 70 minutes to bake.,10/30/2000 17:13:29,10/30/2000 17:13:29
92,1600,2447,C.L. Miller,These make a wonderful healthy snack.,11/04/2000 15:06:47,11/04/2000 15:06:47
95,468,3125,Preeti De,It's a tasty dish.,11/04/2000 15:10:24,11/04/2000 15:10:24
99,1857,3241,JUDITH WEBER,"This greek chicken and rice recipes was so easy to prepare and very good.  I realize you have 50 greek meals but greek food is very good.
Thank you
exercise judy",11/08/2000 18:40:37,11/08/2000 18:40:37
101,288,3228,Christine Fisher,tasty. you can substitute granulated sugar for the palm sugar.,11/08/2000 18:40:46,11/08/2000 18:40:46
111,480,3074,dave moore,needs more spice.,11/12/2000 20:25:08,11/12/2000 20:25:08
113,2086,3307,Angela Kerfoot,"I know that this recipe sounds strange, but I've tried it and it is the best fudge that I've ever had.  It's not too sweet like most are, it stays soft (even after a few days). You must try it, you won't believe it!",11/13/2000 15:20:52,11/13/2000 15:20:52
117,536,2205,fatpatscafe,"Our family has enjoyed this recipe, time and time again with great success. Favorite topping for this is to serve with chili, grated cheese and onions. The kids love it simply with catsup. 
Either way this dish is a MAJOR favorite of our family. Great also for the kids who are learning to cook.",11/17/2000 15:55:24,11/17/2000 15:55:24
144,191,3652,Angie Arnold,"Muffins were simply excellent!  Easy to prepare, moist and so tasty!  We started out by reducing the recipe for only 4 servings...after the first muffin was gone, we started the second batch (increasing to 12 servings!).  ENJOY!",11/27/2000 14:57:21,11/27/2000 14:57:21
146,350,3625,David Cansler,"Recipe did not result in expected product.  Noodles were BLAH, did not hold form well.  By far, this is not one of the better recipes I have used for Spatzel.  A little tweaking is required.  Most likely I will stick with my Grandmother Stroud''s tried and true recipe.",11/27/2000 15:02:11,11/27/2000 15:02:11
147,1485,3625,David Cansler,Excellent and great tasting.  Easy prep!!!!! My guest loved it!   :-),11/27/2000 15:02:17,11/27/2000 15:02:17
156,1705,3672,L1lfish,"This is great.  Very similar to apple butter, and cans in jars very well.  My family loved it, as well as some friends I gave it to.  This is a neat way to use the pumpkins left over from halloween or thanksgiving time.",11/28/2000 19:19:02,11/28/2000 19:19:02
157,316,3627,Erdal Onurhan,"This is in fact not a Greek dish, but Turkish.  ""Dolma"" means ""Stuffing, Stuffed"" in Turkish and the origins of this dish go back to authentic Ottoman Imperial Cuisine. In fact there are very many other stuffed vegetable dishes in the Turkish Cuisine, such as eggplants, arthichokes, marrow(zuccihini) and its blossoms, potatoes etc.  This term, stuffed, is also used for dishes where chicken, turkey and the like are stuffed with various ingredients, mainly rice, before cooking usually in the oven.",11/28/2000 19:20:00,11/28/2000 19:20:00
168,397,3737,Diane Perry,I have baked these biscotti before and they are excellent.  I'm so glad I could find the recipe again.,12/04/2000 17:02:06,12/04/2000 17:02:06
